Año;Departamento;Reforma;VFAd;VPNd;VPCd;Votrosd;VFAn;VPNn;VPCn;Votrosn;Candidatos_FA;Candidatos_PN;Candidatos_PC;Candidatos_otros;Nro_Candidatos;CandidatosSignificativos;PartidosSignificativos;Nro_Efectivo_Candidatos;Nro_Partidos;Nro_Efectivo_Partidos;Volatilidad_INTER;Volatilidad_INTRA;COX_RATIO;VotosPartidoGanador;VotoCandidatoGanador;CompPartido;CompCandidato;Incumbente;Pgob_Izquierda;Congruencia_DEP_NAC;Alineamiento_con_Pgob_Nac;AlternanciaNACIONAL;Votos_Pgob;Compresumen;NECFA;NECPN;NECPC;X1971;X1984
1971;ARTIGAS;0;0,0784;0,3673;0,5508;0,0035;0,076851852;0,361400463;0,534635417;0,027112269;1;3;2;1;7;6;3;4,373135353;5;2,250157102;0,223074628;0,003183942;0,213401311;0,5508;0,562917756;0,63285;0,647510414;1;0;1;1;0;0,547612697;0,640180207;1;1,904069057;1,999870539;1;0
1971;CANELONES;0;0,114;0,4331;0,4489;0,004;0,108851303;0,416564476;0,430737411;0,04384681;1;6;2;3;12;6;3;5,55239077;7;2,486967449;1,383667903;0,000862204;0,263212591;0,4489;0,404689162;0,76765;0,787120646;1;0;1;1;0;0,448694628;0,777385323;1;3,170194351;1,867169196;1;0
1971;CERRO LARGO;0;0,069;0,6046;0,326;0,0004;0,066653813;0,58690832;0,317651595;0,028786272;1;3;7;1;12;8;3;5,92583145;5;2,098249848;0,337510122;0,000941883;0,211534929;0,6046;0,577446231;0,5584;0,60951366;1;0;1;0;0;0,604040164;0,58395683;1;2,64451035;4,131420054;1;0
1971;COLONIA;0;0,1123;0,4998;0,384;0,0039;0,110580821;0,494377468;0,379167865;0,015873846;1;4;5;1;11;7;3;7,352820647;5;2,440055204;0,501811363;0,000589899;0,29245577;0,4998;0,540014441;0,6922;0,63669595;0;0;1;0;0;0,500370557;0,664447975;1;3,814222967;2,546366364;1;0
1971;DURAZNO;0;0,0795;0,5289;0,3898;0,0018;0,077777487;0,51355095;0,378328934;0,030342629;1;2;8;1;12;6;3;5,372910686;5;2,283095661;0,220645271;0,00059437;0,203897635;0,5289;0,523006386;0,666;0,715490421;0;0;1;0;0;0,528652139;0,69074521;1;1,955442813;4,136316294;1;0
1971;FLORES;0;0,078;0,5326;0,381;0,0084;0,076573587;0,518964725;0,372249732;0,032211956;1;3;3;1;8;6;3;5,345720068;5;2,299054877;0,124088991;0,000923782;0,204318937;0,5326;0,495817578;0,6579;0,667526069;0;0;1;0;0;0,53163895;0,662713034;1;2,732666751;1,881585003;1;0
1971;FLORIDA;0;0,0853;0,497;0,4151;0,0026;0,083981975;0,490027814;0,408029496;0,017960715;1;3;6;1;11;7;3;6,610929515;5;2,343811769;0,249009078;0,000703297;0,205586178;0,497;0,478491426;0,71055;0,670507483;0;0;1;0;0;0,497744196;0,690528742;1;2,799192787;3,093236367;1;0
1971;LAVALLEJA;0;0,0699;0,508;0,4192;0,0029;0,068543959;0,496715775;0,411450239;0,023290027;1;2;5;1;9;7;3;4,925090063;5;2,279808405;0,284874057;0,00092959;0,166632901;0,508;0,222704231;0,7016;0,881434003;0;0;1;0;0;0,50705417;0,791517001;1;1,830238363;3,048100489;1;0
1971;MALDONADO;0;0,0958;0,392;0,509;0,0032;0,093876491;0,387995411;0,499772722;0,018355376;1;3;3;2;9;5;3;4,5731464;6;2,36983504;0,366214892;0,001940201;0,244289411;0,509;0,541628002;0,687;0,630396051;1;0;1;1;0;0,50748401;0,658698025;1;2,014067536;1,94489993;1;0
1971;MONTEVIDEO;0;0,3015;0,2969;0,3955;0,0061;0,291472609;0,28769208;0,382021423;0,038813888;1;3;3;4;11;5;4;4,370547233;8;2,98108484;7,368047564;0,000565826;0,984750661;0,3955;0,567486256;0,75525;0,591807737;0;0;1;1;0;0,394970227;0,673528869;1;1,341792371;2,150643972;1;0
1971;PAYSANDÚ;0;0,1316;0,4209;0,4399;0,0076;0,129273615;0,411843154;0,42869514;0,030188091;1;4;3;1;9;7;3;6,615958204;5;2,577330172;0,457337084;0,001226888;0,312674036;0,4399;0,836284212;0,77055;0,23171486;1;0;1;1;0;0,438678576;0,50113243;1;2,592800514;2,956216405;1;0
1971;RÍO NEGRO;0;0,1267;0,4379;0,435;0,0004;0,124749622;0,431106582;0,42671399;0,017429806;1;3;3;1;8;6;3;4,213742444;5;2,518469012;0,196799216;0,000902654;0,291243707;0,4379;0,467685001;0,7796;0,720332456;0;0;1;0;0;0,434112684;0,749966228;1;1,503980216;2,019046683;1;0
1971;RIVERA;0;0,076;0,4954;0,4261;0,0025;0,074797703;0,487824291;0,417745267;0,019632739;1;2;5;1;9;6;3;4,990811569;5;2,307805052;0,289285258;0,000873006;0,178257322;0,4954;0,587843037;0,71765;0,501575496;0;0;1;0;0;0,425272499;0,609612748;1;1,999371114;2,537471917;1;0
1971;ROCHA;0;0,0612;0,484;0,4535;0,0013;0,059784474;0,471251745;0,440135447;0,028828334;1;3;4;1;9;5;3;4,38760289;5;2,254020073;0,236904914;0,000849973;0,135007032;0,484;0,330156414;0,74275;0,791280952;0;0;1;0;0;0,452613995;0,767015476;1;2,00440659;1,916677238;1;0
1971;SALTO;0;0,1076;0,4587;0,429;0,0047;0,104733943;0,449432527;0,417451974;0,028381557;1;3;5;1;10;6;3;5,061333028;5;2,462594779;0,488641691;0,001672491;0,250926276;0,4587;0,469494828;0,7558;0,7649228;1;0;1;0;0;0,427658921;0,7603614;1;2,264711115;1,977027445;1;0
1971;SAN JOSÉ;0;0,0934;0,5264;0,3426;0,0376;0,09157749;0,518259373;0,336582354;0,053580783;1;3;6;1;11;9;4;7,085341283;5;2,471724426;0,385223543;0,000717832;0,272641089;0,5264;0,472667424;0,6449;0,749539559;0;0;1;0;0;0,527074851;0,697219779;1;2,869587469;3,405783037;1;0
1971;SORIANO ;0;0,103;0,4675;0,4267;0,0028;0,099275336;0,45303966;0,417377646;0,030307357;1;5;4;2;12;6;3;4,72041595;6;2,431428909;0,372565316;0,002509649;0,241385312;0,4675;0,725622341;0,74585;0,402889516;0;0;1;0;0;0,429198098;0,574369758;1;1,606662142;2,79518558;1;0
1971;TACUAREMBÓ;0;0,0907;0,5198;0,3859;0,0036;0,08776981;0,502631858;0,374306709;0,035291624;1;2;5;1;9;5;3;4,625401854;5;2,340425302;0,372863658;0,000717367;0,235079056;0,5198;0,545082461;0,67315;0,633301232;1;0;1;0;0;0,519099566;0,653225616;1;1,994334328;2,053110017;1;0
1971;TREINTA Y TRES;0;0,0726;0,5517;0,374;0,0017;0,071507777;0,535858783;0,366649684;0,025983756;1;5;9;1;16;8;3;7,348238858;5;2,22418441;0,208583728;0,002511378;0,194229184;0,5517;0,618671971;0,6353;0,532994924;1;0;1;0;0;0,549359388;0,584147462;1;2,899942763;5,415802448;1;0
1984;ARTIGAS;0;0,05851917;0,36630103;0,53520981;0,03996999;0,059269416;0,372302996;0,534873493;0,033554095;1;5;3;1;10;6;3;5,102202571;5;2,358051878;0,234472531;0,003699488;0,159757045;0,53520981;0,562917756;0,647940705;0,647510414;0;0;1;1;1;0;0,647725559;1;3,573765441;2,023227708;0;1
